Site,Persist_RMSE,Persist_R2,XGB_RMSE,XGB_R2,Skill_gain
Havelock,0.17197634771290216,-0.2100255582637025,0.14456264841413385,0.14499374384733044,0.35501930211103294
Neil,0.17676413245745207,-0.3563721728200844,0.1315026213082798,0.24931212909246314,0.6056843019125475
Port_Blair,0.22086019707641738,-0.37679350076305784,0.17092096776902907,0.17543559559416932,0.5522290963572272
Wandoor,0.10570129746047759,0.9226591986761152,0.380035656966086,0.0002377741200296768,-0.9224214245560856
