Site,RMSE,MAE,R2
Havelock,0.13725888255460122,0.10248914355290122,0.2292065448642775
Neil,0.131409317303826,0.08960061768690318,0.25037701031715964
Port_Blair,0.1733047681618377,0.1344848280606851,0.15227513880750332
Wandoor,0.381870103363813,0.34067016947254797,-0.009437300301341267
