Site,RMSE,MAE,R2,Train_rows,Test_rows
Havelock,0.14456264841413385,0.10973102021465911,0.14499374384733044,930,102
Neil,0.1315026213082798,0.09050615345928673,0.24931212909246314,941,102
Port_Blair,0.17092096776902907,0.1343026173725235,0.17543559559416932,892,102
Wandoor,0.380035656966086,0.3400433859932042,0.0002377741200296768,411,22
