date,label,sst_c,MMM,SSTA,HotSpot,DHW,risk_tier,chlor_a,kd490_proxy,CSI
2004-01-01,Havelock,27.843255615234398,30.39821597828587,-0.10701942443847656,-2.554960363051471,0.0,No Stress,0.9393952004817312,0.9391428884508287,0.29599155734002114
2004-01-08,Havelock,27.759851074218773,30.39821597828587,-0.0911941528320277,-2.638364904067096,0.0,No Stress,0.5716882320767492,1.0432961747478025,0.18795183681217142
2004-01-15,Havelock,27.793054199218773,30.39821597828587,-0.03152084350585582,-2.605161779067096,0.0,No Stress,0.520056225012491,1.021108093742833,0.1667840092784171
2004-01-22,Havelock,28.052941894531273,30.39821597828587,0.22503280639648793,-2.345274083754596,0.0,No Stress,0.5016171090848456,1.0132124122873207,0.16506561141285517
2004-01-29,Havelock,27.934564208984398,30.39821597828587,0.10890388488769531,-2.463651769301471,0.0,No Stress,0.6107064684075264,1.006863830028475,0.19528138092489633
2004-02-05,Havelock,27.911035156250023,30.39821597828587,-0.09694290161132812,-2.487180822035846,0.0,No Stress,0.5893977773323488,1.0032099362960623,0.18744189523438787
2004-02-12,Havelock,28.010522460937523,30.39821597828587,-0.20216751098632457,-2.387693517348346,0.0,No Stress,0.3639549249001133,1.1163545176048404,0.18186881523288256
2004-02-19,Havelock,27.796685791015648,30.39821597828587,-0.547266006469723,-2.601530187270221,0.0,No Stress,0.7467233021614962,0.9763498636470471,0.23655127685962593
2004-02-26,Havelock,28.024682617187523,30.39821597828587,-0.5645122528076101,-2.373533361098346,0.0,No Stress,0.768024841372009,0.990922214482618,0.24616709124916536
2004-03-04,Havelock,28.308282470703148,30.39821597828587,-0.5227870941162038,-2.089933507582721,0.0,No Stress,0.6923636610854209,1.0149067085508976,0.2243522944153709
2004-03-11,Havelock,28.928552246093716,30.39821597828587,-0.17047119140629974,-1.4696637321921528,0.0,No Stress,0.6716901890010277,1.0125439958345799,0.21693911157293957
2004-03-18,Havelock,29.391900634765648,30.39821597828587,0.06351089477539773,-1.006315343520221,0.0,No Stress,0.7329424743635409,1.0307502073129384,0.24072880233999722
2004-03-25,Havelock,29.990289306640648,30.39821597828587,0.32742118835449574,-0.407926671645221,0.0,No Stress,0.5773425098652492,1.0059978831908067,0.18379771417211263
2004-04-01,Havelock,30.490289306640648,30.39821597828587,0.4681243896484446,0.092073328354779,0.092073328354779,Watch,0.5004832173255808,1.0623145324701284,0.19310836894858938
2004-04-08,Havelock,31.002252197265648,30.39821597828587,0.718780517578125,0.604036218979779,0.696109547334558,Watch,0.6470545552429856,1.0360587960231622,0.36393030819864053
2004-04-15,Havelock,30.840997314453148,30.39821597828587,0.2725086212158203,0.442781336167279,1.138890883501837,Watch,0.7191108468487779,0.9644365445931771,0.47314750420721086
2004-04-22,Havelock,31.260308837890648,30.39821597828587,0.6107978820800817,0.862092859604779,2.000983743106616,Watch,0.7441198696230187,1.025997149555398,0.6793471182117621
2004-04-29,Havelock,30.634454345703148,30.39821597828587,0.06697654724121804,0.236238367417279,2.237222110523895,Watch,0.2445333898067474,1.1509919074863342,0.6745309860793531
2004-05-06,Havelock,30.441369628906273,30.39821597828587,-0.12670707702636008,0.043153650620403994,2.280375761144299,Watch,,,
2004-05-13,Havelock,29.880578613281273,30.39821597828587,-0.18931198120116477,-0.517637365004596,2.280375761144299,No Stress,,,
2004-05-20,Havelock,29.221582031250023,30.39821597828587,-0.4380836486816406,-1.176633947035846,2.280375761144299,No Stress,,,
2004-05-27,Havelock,29.205682373046898,30.39821597828587,-0.39845848083496094,-1.192533605238971,2.280375761144299,No Stress,,,
