year,label,peak_DHW,mean_CSI,weeks_above_warn,weeks_alert1
2004,Havelock,2.280375761144299,0.2650440007397402,0,0
2004,Neil,2.2803384016944506,0.2890509096815708,0,0
2004,Port_Blair,2.1489724862655315,0.23194749985570484,0,0
2004,Wandoor,2.136726847554513,0.27276847884023325,0,0
2005,Havelock,3.571116727941174,0.33214032014068345,0,0
2005,Neil,3.5702473757284565,0.29506629074218166,0,0
2005,Port_Blair,2.933082662838242,0.31061452073309626,0,0
2005,Wandoor,2.8055298910572617,0.2641106529139277,0,0
2006,Havelock,0.12338615866268299,0.21551611768310563,0,0
2006,Neil,0.12317009300909376,0.21038697399280465,0,0
2006,Port_Blair,0.09732781916593325,0.22747406708505633,0,0
2006,Wandoor,0.10776159776452232,0.19857888211486288,0,0
2007,Havelock,0.09506584616268299,0.22457490405067843,0,0
2007,Neil,0.09516409212568533,0.21649412681100416,0,0
2007,Port_Blair,0.07674907345885273,0.23856398948606808,0,0
2007,Wandoor,0.08466216743974542,0.19823770499233934,0,0
2008,Havelock,0.0,0.2011197912428044,0,0
2008,Neil,0.0,0.20538830436850503,0,0
2008,Port_Blair,0.0,0.23344084883108598,0,0
2008,Wandoor,0.0,0.18779329185407578,0,0
2009,Havelock,0.379766127642462,0.2252593212116186,0,0
2009,Neil,0.37835782902567416,0.2178339667061177,0,0
2009,Port_Blair,0.12083991470857924,0.2310777729684633,0,0
2009,Wandoor,0.08020616193161345,0.1982443929383941,0,0
2010,Havelock,7.949845257927386,0.49656011523318244,12,0
2010,Neil,7.948310379680038,0.44019271187753306,12,0
2010,Port_Blair,7.83588926536255,0.5364422449502775,12,0
2010,Wandoor,7.911844028338805,0.3758074652747305,12,0
2011,Havelock,0.0,0.22245911494792076,0,0
2011,Neil,0.0,0.20249959602776899,0,0
2011,Port_Blair,0.0,0.20658239591923294,0,0
2011,Wandoor,0.003836910653006953,0.19756133299806583,0,0
2012,Havelock,0.18368889303762614,0.20084224189826785,0,0
2012,Neil,0.18307702217083488,0.21740533905090156,0,0
2012,Port_Blair,0.0,0.22681256264350802,0,0
2012,Wandoor,0.0,0.2027912160768348,0,0
2013,Havelock,0.6132884306065591,0.20821055028301746,0,0
2013,Neil,0.6132889880184393,0.21624418515886576,0,0
2013,Port_Blair,0.6338205390930369,0.21978211354435898,0,0
2013,Wandoor,0.7557205542435668,,0,0
2014,Havelock,1.294835707720587,0.2535185746810686,0,0
2014,Neil,1.2954492958442643,0.2672877853813043,0,0
2014,Port_Blair,1.2736354426582892,0.22609932935485558,0,0
2014,Wandoor,1.4289752122360255,,0,0
2015,Havelock,2.296851663028491,0.2791496597125726,0,0
2015,Neil,2.2964594767038307,0.2760636286838662,0,0
2015,Port_Blair,2.1277064827780663,0.2623148417160619,0,0
2015,Wandoor,2.171421562772707,,0,0
2016,Havelock,4.940106560202203,0.3674832504285732,9,0
2016,Neil,4.940305948525349,0.38690006278309713,9,0
2016,Port_Blair,5.085589120525686,0.3952789938738133,9,0
2016,Wandoor,5.205311559288788,,9,0
2017,Havelock,0.467166676240808,0.23159684189437857,0,0
2017,Neil,0.46650640488388717,0.2513789594666288,0,0
2017,Port_Blair,0.4257281736790546,0.22037797917258575,0,0
2017,Wandoor,0.45624445698496174,,0,0
2018,Havelock,1.128306669347424,0.2394450407533143,0,0
2018,Neil,1.1282650821437983,0.2576881998920488,0,0
2018,Port_Blair,1.2657070303798221,0.24736422518465526,0,0
2018,Wandoor,1.4517014447380916,0.18811971850097028,0,0
2019,Havelock,0.794864430147058,0.23179515458445413,0,0
2019,Neil,0.7943764761977832,0.24969189230336267,0,0
2019,Port_Blair,0.7559931074425243,0.23580702480830398,0,0
2019,Wandoor,0.6432847173547884,0.19795270496683676,0,0
2020,Havelock,0.5336967917049051,0.23298987680789854,0,0
2020,Neil,0.5328070489420043,0.23273103253410563,0,0
2020,Port_Blair,0.2739327853074123,0.2116580250341288,0,0
2020,Wandoor,0.21281126379906823,0.1858450138443247,0,0
2021,Havelock,1.130834242876837,0.23760283908487817,0,0
2021,Neil,1.1312845522386397,0.24602789513854548,0,0
2021,Port_Blair,1.2822551521615573,0.24502226276021033,0,0
2021,Wandoor,1.4711012870539832,0.3390462432868298,0,0
2022,Havelock,1.685798196231616,0.259565284524305,0,0
2022,Neil,1.6840455479369325,0.27744783504389586,0,0
2022,Port_Blair,1.6719858559110747,0.26620146650912496,0,0
2022,Wandoor,1.5415653159342355,0.19229780962532556,0,0
2023,Havelock,1.602576760684741,0.27225626053828644,0,0
2023,Neil,1.6010544520722192,0.2763406739590848,0,0
2023,Port_Blair,1.753743138368126,0.2757411837869382,0,0
2023,Wandoor,1.6140107143948228,0.21442308327320977,0,0
2024,Havelock,6.148877312155328,0.42128694927562543,10,0
2024,Neil,6.148150239289123,0.46272740471415363,10,0
2024,Port_Blair,5.915967042913895,0.4460525572527052,10,0
2024,Wandoor,5.695692594304518,0.23437109822677318,10,0
